Эпизод: 219/1000 | Награда (Очки): 124.0 | Epsilon: 0.01
Эпизод: 220/1000 | Награда (Очки): 67.0 | Epsilon: 0.01
Эпизод: 221/1000 | Награда (Очки): 38.0 | Epsilon: 0.01
Эпизод: 222/1000 | Награда (Очки): 113.0 | Epsilon: 0.01
Эпизод: 223/1000 | Награда (Очки): 66.0 | Epsilon: 0.01
Эпизод: 224/1000 | Награда (Очки): 129.0 | Epsilon: 0.01
Эпизод: 225/1000 | Награда (Очки): 70.0 | Epsilon: 0.01
Эпизод: 226/1000 | Награда (Очки): 156.0 | Epsilon: 0.01
Эпизод: 227/1000 | Награда (Очки): 85.0 | Epsilon: 0.01
Эпизод: 228/1000 | Награда (Очки): 77.0 | Epsilon: 0.01
Эпизод: 229/1000 | Награда (Очки): 57.0 | Epsilon: 0.01
Эпизод: 230/1000 | Награда (Очки): 88.0 | Epsilon: 0.01
Эпизод: 231/1000 | Награда (Очки): 61.0 | Epsilon: 0.01
Эпизод: 232/1000 | Награда (Очки): 58.0 | Epsilon: 0.01
Эпизод: 233/1000 | Награда (Очки): 41.0 | Epsilon: 0.01
Эпизод: 234/1000 | Награда (Очки): 84.0 | Epsilon: 0.01
Эпизод: 235/1000 | Награда (Очки): 180.0 | Epsilon: 0.01
Эпизод: 236/1000 | Награда (Очки): 173.0 | Epsilon: 0.01
Эпизод: 237/1000 | Награда (Очки): 85.0 | Epsilon: 0.01
Эпизод: 238/1000 | Награда (Очки): 83.0 | Epsilon: 0.01
Эпизод: 239/1000 | Награда (Очки): 131.0 | Epsilon: 0.01
Эпизод: 240/1000 | Награда (Очки): 43.0 | Epsilon: 0.01
Эпизод: 241/1000 | Награда (Очки): 53.0 | Epsilon: 0.01
Эпизод: 242/1000 | Награда (Очки): 62.0 | Epsilon: 0.01
Эпизод: 243/1000 | Награда (Очки): 54.0 | Epsilon: 0.01
Эпизод: 244/1000 | Награда (Очки): 47.0 | Epsilon: 0.01
Эпизод: 245/1000 | Награда (Очки): 58.0 | Epsilon: 0.01
