Эпизод: 180/500 | Награда (Очки): 48.0 | Epsilon: 0.01
Эпизод: 181/500 | Награда (Очки): 36.0 | Epsilon: 0.01
Эпизод: 182/500 | Награда (Очки): 29.0 | Epsilon: 0.01
Эпизод: 183/500 | Награда (Очки): 31.0 | Epsilon: 0.01
Эпизод: 184/500 | Награда (Очки): 45.0 | Epsilon: 0.01
Эпизод: 185/500 | Награда (Очки): 44.0 | Epsilon: 0.01
Эпизод: 186/500 | Награда (Очки): 42.0 | Epsilon: 0.01
Эпизод: 187/500 | Награда (Очки): 38.0 | Epsilon: 0.01
Эпизод: 188/500 | Награда (Очки): 29.0 | Epsilon: 0.01
Эпизод: 189/500 | Награда (Очки): 43.0 | Epsilon: 0.01
Эпизод: 190/500 | Награда (Очки): 42.0 | Epsilon: 0.01
Эпизод: 191/500 | Награда (Очки): 28.0 | Epsilon: 0.01
Эпизод: 192/500 | Награда (Очки): 53.0 | Epsilon: 0.01
Эпизод: 193/500 | Награда (Очки): 26.0 | Epsilon: 0.01
Эпизод: 194/500 | Награда (Очки): 45.0 | Epsilon: 0.01
Эпизод: 195/500 | Награда (Очки): 27.0 | Epsilon: 0.01
Эпизод: 196/500 | Награда (Очки): 33.0 | Epsilon: 0.01
Эпизод: 197/500 | Награда (Очки): 18.0 | Epsilon: 0.01
Эпизод: 198/500 | Награда (Очки): 23.0 | Epsilon: 0.01
Эпизод: 199/500 | Награда (Очки): 28.0 | Epsilon: 0.01
Эпизод: 200/500 | Награда (Очки): 56.0 | Epsilon: 0.01
Эпизод: 201/500 | Награда (Очки): 28.0 | Epsilon: 0.01
Эпизод: 202/500 | Награда (Очки): 58.0 | Epsilon: 0.01
Эпизод: 203/500 | Награда (Очки): 83.0 | Epsilon: 0.01
Эпизод: 204/500 | Награда (Очки): 44.0 | Epsilon: 0.01
Эпизод: 205/500 | Награда (Очки): 38.0 | Epsilon: 0.01
Эпизод: 206/500 | Награда (Очки): 99.0 | Epsilon: 0.01
Эпизод: 207/500 | Награда (Очки): 57.0 | Epsilon: 0.01
Эпизод: 208/500 | Награда (Очки): 131.0 | Epsilon: 0.01
Эпизод: 209/500 | Награда (Очки): 51.0 | Epsilon: 0.01
Эпизод: 210/500 | Награда (Очки): 49.0 | Epsilon: 0.01
Эпизод: 211/500 | Награда (Очки): 44.0 | Epsilon: 0.01
Эпизод: 212/500 | Награда (Очки): 107.0 | Epsilon: 0.01
Эпизод: 213/500 | Награда (Очки): 36.0 | Epsilon: 0.01
Эпизод: 214/500 | Награда (Очки): 35.0 | Epsilon: 0.01
Эпизод: 215/500 | Награда (Очки): 55.0 | Epsilon: 0.01
Эпизод: 216/500 | Награда (Очки): 39.0 | Epsilon: 0.01
Эпизод: 217/500 | Награда (Очки): 36.0 | Epsilon: 0.01
Эпизод: 218/500 | Награда (Очки): 53.0 | Epsilon: 0.01
Эпизод: 219/500 | Награда (Очки): 33.0 | Epsilon: 0.01
Эпизод: 220/500 | Награда (Очки): 37.0 | Epsilon: 0.01
Эпизод: 221/500 | Награда (Очки): 58.0 | Epsilon: 0.01
Эпизод: 222/500 | Награда (Очки): 55.0 | Epsilon: 0.01
Эпизод: 223/500 | Награда (Очки): 41.0 | Epsilon: 0.01
Эпизод: 224/500 | Награда (Очки): 57.0 | Epsilon: 0.01
Эпизод: 225/500 | Награда (Очки): 53.0 | Epsilon: 0.01
Эпизод: 226/500 | Награда (Очки): 41.0 | Epsilon: 0.01
Эпизод: 227/500 | Награда (Очки): 93.0 | Epsilon: 0.01
Эпизод: 228/500 | Награда (Очки): 56.0 | Epsilon: 0.01
Эпизод: 229/500 | Награда (Очки): 38.0 | Epsilon: 0.01
Эпизод: 230/500 | Награда (Очки): 83.0 | Epsilon: 0.01
Эпизод: 231/500 | Награда (Очки): 49.0 | Epsilon: 0.01
Эпизод: 232/500 | Награда (Очки): 41.0 | Epsilon: 0.01
Эпизод: 233/500 | Награда (Очки): 46.0 | Epsilon: 0.01
Эпизод: 234/500 | Награда (Очки): 37.0 | Epsilon: 0.01
Эпизод: 235/500 | Награда (Очки): 28.0 | Epsilon: 0.01
Эпизод: 236/500 | Награда (Очки): 41.0 | Epsilon: 0.01
Эпизод: 237/500 | Награда (Очки): 58.0 | Epsilon: 0.01
Эпизод: 238/500 | Награда (Очки): 101.0 | Epsilon: 0.01
Эпизод: 239/500 | Награда (Очки): 50.0 | Epsilon: 0.01
Эпизод: 240/500 | Награда (Очки): 49.0 | Epsilon: 0.01
Эпизод: 241/500 | Награда (Очки): 95.0 | Epsilon: 0.01
Эпизод: 242/500 | Награда (Очки): 49.0 | Epsilon: 0.01
Эпизод: 243/500 | Награда (Очки): 67.0 | Epsilon: 0.01
Эпизод: 244/500 | Награда (Очки): 45.0 | Epsilon: 0.01
Эпизод: 245/500 | Награда (Очки): 37.0 | Epsilon: 0.01
Эпизод: 246/500 | Награда (Очки): 50.0 | Epsilon: 0.01
Эпизод: 247/500 | Награда (Очки): 44.0 | Epsilon: 0.01
Эпизод: 248/500 | Награда (Очки): 121.0 | Epsilon: 0.01
Эпизод: 249/500 | Награда (Очки): 42.0 | Epsilon: 0.01
Эпизод: 250/500 | Награда (Очки): 69.0 | Epsilon: 0.01
Эпизод: 251/500 | Награда (Очки): 45.0 | Epsilon: 0.01
Эпизод: 252/500 | Награда (Очки): 89.0 | Epsilon: 0.01
Эпизод: 253/500 | Награда (Очки): 67.0 | Epsilon: 0.01
Эпизод: 254/500 | Награда (Очки): 43.0 | Epsilon: 0.01
Эпизод: 255/500 | Награда (Очки): 52.0 | Epsilon: 0.01
Эпизод: 256/500 | Награда (Очки): 77.0 | Epsilon: 0.01
Эпизод: 257/500 | Награда (Очки): 32.0 | Epsilon: 0.01
Эпизод: 258/500 | Награда (Очки): 47.0 | Epsilon: 0.01
Эпизод: 259/500 | Награда (Очки): 89.0 | Epsilon: 0.01
Эпизод: 260/500 | Награда (Очки): 54.0 | Epsilon: 0.01
Эпизод: 261/500 | Награда (Очки): 42.0 | Epsilon: 0.01
Эпизод: 262/500 | Награда (Очки): 66.0 | Epsilon: 0.01
Эпизод: 263/500 | Награда (Очки): 63.0 | Epsilon: 0.01
Эпизод: 264/500 | Награда (Очки): 67.0 | Epsilon: 0.01
Эпизод: 265/500 | Награда (Очки): 62.0 | Epsilon: 0.01
Эпизод: 266/500 | Награда (Очки): 57.0 | Epsilon: 0.01
Эпизод: 267/500 | Награда (Очки): 60.0 | Epsilon: 0.01
Эпизод: 268/500 | Награда (Очки): 51.0 | Epsilon: 0.01
Эпизод: 269/500 | Награда (Очки): 91.0 | Epsilon: 0.01
Эпизод: 270/500 | Награда (Очки): 54.0 | Epsilon: 0.01
Эпизод: 271/500 | Награда (Очки): 101.0 | Epsilon: 0.01
Эпизод: 272/500 | Награда (Очки): 48.0 | Epsilon: 0.01
Эпизод: 273/500 | Награда (Очки): 48.0 | Epsilon: 0.01
Эпизод: 274/500 | Награда (Очки): 66.0 | Epsilon: 0.01
Эпизод: 275/500 | Награда (Очки): 84.0 | Epsilon: 0.01
Эпизод: 276/500 | Награда (Очки): 90.0 | Epsilon: 0.01
Эпизод: 277/500 | Награда (Очки): 123.0 | Epsilon: 0.01
Эпизод: 278/500 | Награда (Очки): 58.0 | Epsilon: 0.01
Эпизод: 279/500 | Награда (Очки): 135.0 | Epsilon: 0.01
Эпизод: 280/500 | Награда (Очки): 172.0 | Epsilon: 0.01
Эпизод: 281/500 | Награда (Очки): 87.0 | Epsilon: 0.01
Эпизод: 282/500 | Награда (Очки): 97.0 | Epsilon: 0.01
Эпизод: 283/500 | Награда (Очки): 59.0 | Epsilon: 0.01
Эпизод: 284/500 | Награда (Очки): 84.0 | Epsilon: 0.01
Эпизод: 285/500 | Награда (Очки): 122.0 | Epsilon: 0.01
Эпизод: 286/500 | Награда (Очки): 80.0 | Epsilon: 0.01
Эпизод: 287/500 | Награда (Очки): 80.0 | Epsilon: 0.01
Эпизод: 288/500 | Награда (Очки): 76.0 | Epsilon: 0.01
Эпизод: 289/500 | Награда (Очки): 79.0 | Epsilon: 0.01
Эпизод: 290/500 | Награда (Очки): 83.0 | Epsilon: 0.01
Эпизод: 291/500 | Награда (Очки): 78.0 | Epsilon: 0.01
Эпизод: 292/500 | Награда (Очки): 99.0 | Epsilon: 0.01
Эпизод: 293/500 | Награда (Очки): 84.0 | Epsilon: 0.01
Эпизод: 294/500 | Награда (Очки): 87.0 | Epsilon: 0.01
Эпизод: 295/500 | Награда (Очки): 87.0 | Epsilon: 0.01
Эпизод: 296/500 | Награда (Очки): 134.0 | Epsilon: 0.01
Эпизод: 297/500 | Награда (Очки): 175.0 | Epsilon: 0.01
Эпизод: 298/500 | Награда (Очки): 111.0 | Epsilon: 0.01
Эпизод: 299/500 | Награда (Очки): 71.0 | Epsilon: 0.01
Эпизод: 300/500 | Награда (Очки): 68.0 | Epsilon: 0.01
Эпизод: 301/500 | Награда (Очки): 112.0 | Epsilon: 0.01
